Year,Month,cnt
0,1,57.57387580299786
0,2,74.96674057649668
0,3,88.50094517958412
0,4,129.69721115537848
0,5,180.32183908045977
0,6,196.34722222222223
0,7,195.31322957198444
0,8,191.99395161290323
0,9,171.79256360078278
0,10,161.43333333333334
0,11,140.09722222222223
0,12,117.46257197696737
1,1,126.45109780439122
1,2,150.48117154811715
1,3,221.63937621832358
1,4,247.53306613226454
1,5,260.1087786259542
1,6,276.3728489483748
1,7,268.7442748091603
1,8,293.3529411764706
1,9,302.989816700611
1,10,278.5265306122449
1,11,204.2130177514793
1,12,163.68121442125238